2025-12-04 14:03:46.586 [info] Starting Python Locator /home/tellez/.vscode/extensions/ms-python.python-2025.18.0-linux-x64/python-env-tools/bin/pet server
2025-12-04 14:03:47.047 [info] Discovered env: /usr/bin/python3
2025-12-04 14:03:47.049 [info] Discovered env: /bin/python3
2025-12-04 14:03:47.050 [info] Locator Conda took 272.716898ms
2025-12-04 14:03:47.050 [info] Locator Homebrew took 342.404µs
2025-12-04 14:03:47.050 [info] Locator LinuxGlobal took 271.96553ms
2025-12-04 14:03:47.050 [info] Locator PipEnv took 21.493µs
2025-12-04 14:03:47.050 [info] Locator Pixi took 136.955µs
2025-12-04 14:03:47.050 [info] Locator Poetry took 1.257613ms
2025-12-04 14:03:47.050 [info] Locator PyEnv took 1.710621ms
2025-12-04 14:03:47.050 [info] Locator Venv took 220.985µs
2025-12-04 14:03:47.050 [info] Locator VirtualEnv took 484.88µs
2025-12-04 14:03:47.050 [info] Locator VirtualEnvWrapper took 26.359µs
2025-12-04 14:03:47.050 [info] Locator GlobalVirtualEnvs took 483.781µs
2025-12-04 14:03:47.050 [info] Locator Locators took 273.288645ms
2025-12-04 14:03:47.050 [info] Locator Path took 289.814242ms
2025-12-04 14:03:47.050 [info] Locator Workspaces took 846.354µs
2025-12-04 14:03:47.050 [info] Refresh completed in 289ms
2025-12-04 14:03:47.105 [info] Resolved Python Environment /bin/python3
2025-12-04 14:03:47.153 [info] Resolved Python Environment /usr/bin/python3
2025-12-04 14:04:24.168 [info] Resolved Python Environment /usr/bin/python3
2025-12-04 14:05:31.017 [info] Resolved Python Environment /usr/bin/python3
2025-12-04 14:08:17.326 [info] Resolved Python Environment /usr/bin/python3
2025-12-04 14:09:06.663 [info] Resolved Python Environment /usr/bin/python3
2025-12-04 14:09:44.054 [info] Resolved Python Environment /usr/bin/python3
2025-12-04 14:10:17.935 [info] Resolved Python Environment /usr/bin/python3
